date,high_f,low_f,precip_in
2025-01-01,45,18,0.00
2025-01-02,38,12,0.02
2025-01-03,32,8,0.15
2025-01-04,28,5,0.08
2025-01-05,35,10,0.00
2025-01-06,42,15,0.00
2025-01-07,48,22,0.00
2025-01-08,52,25,0.00
2025-01-09,47,20,0.00
2025-01-10,30,6,0.22
2025-01-11,25,2,0.18
2025-01-12,22,-3,0.05
2025-01-13,28,5,0.00
2025-01-14,35,12,0.00
2025-01-15,40,18,0.00
2025-01-16,45,20,0.00
2025-01-17,50,24,0.00
2025-01-18,55,28,0.00
2025-01-19,48,22,0.00
2025-01-20,33,8,0.12
2025-01-21,27,3,0.25
2025-01-22,30,7,0.00
2025-01-23,38,14,0.00
2025-01-24,42,18,0.00
2025-01-25,46,21,0.00
2025-01-26,50,25,0.00
2025-01-27,44,19,0.00
2025-01-28,36,11,0.08
2025-01-29,31,6,0.10
2025-01-30,28,4,0.00
2025-01-31,34,10,0.00
